Date,Hour,Emission Factor (kg CO2 per kWh)
2024-01-10,22,0.569429
2024-01-10,23,0.571968
2024-01-10,24,0.580272
2024-01-11,1,0.568088
2024-01-11,2,0.604373
2024-01-11,3,0.633276
2024-01-11,4,0.607747
2024-01-11,5,0.610342
2024-01-11,6,0.603629
2024-01-11,7,0.555219
2024-01-11,8,0.563565
2024-01-11,9,0.591992
2024-01-11,10,0.59407
2024-01-11,11,0.604705
2024-01-11,12,0.585311
2024-01-11,13,0.6152
2024-01-11,14,0.575418
2024-01-11,15,0.570243
2024-01-11,16,0.562452
2024-01-11,17,0.53939
2024-01-11,18,0.544037
2024-01-11,19,0.577402
2024-01-11,20,0.555476
2024-01-11,21,0.56859
2024-01-11,22,0.584531
2024-01-11,23,0.609652
2024-01-11,24,0.577363
2024-01-12,1,0.552023
2024-01-12,2,0.64114
2024-01-12,3,0.593818
2024-01-12,4,0.629903
2024-01-12,5,0.592038
2024-01-12,6,0.575281
2024-01-12,7,0.550339
2024-01-12,8,0.555147
2024-01-12,9,0.578495
2024-01-12,10,0.581577
2024-01-12,11,0.573118
2024-01-12,12,0.603094
2024-01-12,13,0.595321
2024-01-12,14,0.62163
2024-01-12,15,0.595953
2024-01-12,16,0.564473
2024-01-12,17,0.57854
2024-01-12,18,0.571014
2024-01-12,19,0.532803
2024-01-12,20,0.569651
2024-01-12,21,0.564378
2024-01-12,22,0.55679
2024-01-12,23,0.534692
2024-01-12,24,0.562669
2024-01-14,1,0.573014
2024-01-14,2,0.578017
2024-01-14,3,0.639573
2024-01-14,4,0.633093
2024-01-14,5,0.645968
2024-01-14,6,0.548307
2024-01-14,7,0.544141
2024-01-14,8,0.554495
2024-01-14,9,0.569214
2024-01-14,10,0.610474
2024-01-14,11,0.584511
2024-01-14,12,0.610093
2024-01-14,13,0.593298
2024-01-14,14,0.591329
2024-01-14,15,0.597598
2024-01-14,16,0.56762
2024-01-14,17,0.536608
2024-01-14,18,0.569755
2024-01-14,19,0.573247
2024-01-14,20,0.571029
2024-01-14,21,0.592487
2024-01-14,22,0.562458
2024-01-14,23,0.588569
2024-01-14,24,0.590735
2024-01-15,1,0.560978
2024-01-15,2,0.617851
2024-01-15,3,0.602437
2024-01-15,4,0.62817
2024-01-15,5,0.620958
2024-01-15,6,0.58375
2024-01-15,7,0.532997
2024-01-15,8,0.541978
2024-01-15,9,0.563222
2024-01-15,10,0.603014
2024-01-15,11,0.595266
2024-01-15,12,0.571692
2024-01-15,13,0.593689
2024-01-15,14,0.604567
2024-01-15,15,0.5659
2024-01-15,16,0.566612
2024-01-15,17,0.529193
2024-01-15,18,0.560666
2024-01-15,19,0.579371
2024-01-15,20,0.561115
2024-01-15,21,0.575921
2024-01-15,22,0.549765
2024-01-15,23,0.570588
2024-01-15,24,0.580263
2024-01-16,1,0.559192
2024-01-16,2,0.564841
2024-01-16,3,0.617101
2024-01-16,4,0.646891
2024-01-16,5,0.60715
2024-01-16,6,0.608011
2024-01-16,7,0.5549
2024-01-16,8,0.554668
2024-01-16,9,0.54307
2024-01-16,10,0.60742
2024-01-16,11,0.600542
2024-01-16,12,0.590606
2024-01-16,13,0.604331
2024-01-16,14,0.621664
2024-01-16,15,0.580234
2024-01-16,16,0.572985
2024-01-16,17,0.557983
2024-01-16,18,0.570463
2024-01-16,19,0.593074
2024-01-16,20,0.609154
2024-01-16,21,0.564519
2024-01-16,22,0.56778
2024-01-16,23,0.575926
2024-01-16,24,0.589655
2024-01-17,1,0.576905
2024-01-17,2,0.566585
2024-01-17,3,0.621892
2024-01-17,4,0.584243
2024-01-17,5,0.590948
2024-01-17,6,0.602192
2024-01-17,7,0.556777
2024-01-17,8,0.559102
2024-01-17,9,0.540255
2024-01-17,10,0.598319
2024-01-17,11,0.6182
2024-01-17,12,0.603044
2024-01-17,13,0.626409
2024-01-17,14,0.63242
2024-01-17,15,0.593316
2024-01-17,16,0.568892
2024-01-17,17,0.577033
2024-01-17,18,0.580046
2024-01-17,19,0.594534
2024-01-17,20,0.595089
2024-01-17,21,0.57205
2024-01-17,22,0.570861
2024-01-17,23,0.539132
2024-01-17,24,0.585703
2024-01-20,1,0.601991
2024-01-20,2,0.613031
2024-01-20,3,0.589335
2024-01-20,4,0.615962
2024-01-20,5,0.608218
2024-01-20,6,0.554934
2024-01-20,7,0.549059
2024-01-20,8,0.582124
2024-01-20,9,0.562832
2024-01-20,10,0.589781
2024-01-20,11,0.560623
2024-01-20,12,0.579584
2024-01-20,13,0.601167
2024-01-20,14,0.611056
2024-01-20,15,0.575966
2024-01-20,16,0.568018
2024-01-20,17,0.550795
2024-01-20,18,0.614665
2024-01-20,19,0.550934
2024-01-20,20,0.616715
2024-01-20,21,0.565743
2024-01-20,22,0.534246
2024-01-20,23,0.570677
2024-01-20,24,0.600705
2024-01-21,1,0.570076
2024-01-21,2,0.608027
2024-01-21,3,0.604334
2024-01-21,4,0.597513
2024-01-21,5,0.629105
2024-01-21,6,0.568756
2024-01-21,7,0.55902
2024-01-21,8,0.584441
2024-01-21,9,0.563927
2024-01-21,10,0.567531
2024-01-21,11,0.605696
2024-01-21,12,0.566629
2024-01-21,13,0.588653
2024-01-21,14,0.643414
2024-01-21,15,0.59117
2024-01-21,16,0.561266
2024-01-21,17,0.558167
2024-01-21,18,0.517601
2024-01-21,19,0.571332
2024-01-21,20,0.593205
2024-01-21,21,0.538822
2024-01-21,22,0.574282
2024-01-21,23,0.57056
2024-01-21,24,0.567505
2024-01-22,1,0.573106
2024-01-22,2,0.606005
2024-01-22,3,0.600186
2024-01-22,4,0.617363
2024-01-22,5,0.62386
2024-01-22,6,0.590857
2024-01-22,7,0.55783
2024-01-22,8,0.575291
2024-01-22,9,0.576662
2024-01-22,10,0.592841
2024-01-22,11,0.572169
2024-01-22,12,0.547016
2024-01-22,13,0.585441
2024-01-22,14,0.600479
2024-01-22,15,0.555764
2024-01-22,16,0.567614
2024-01-22,17,0.566331
2024-01-22,18,0.584281
2024-01-22,19,0.577124
2024-01-22,20,0.559585
2024-01-22,21,0.547923
2024-01-22,22,0.569835
2024-01-22,23,0.565509
2024-01-22,24,0.591192
2024-01-23,1,0.550995
2024-01-23,2,0.650077
2024-01-23,3,0.605941
2024-01-23,4,0.606128
2024-01-23,5,0.563534
2024-01-23,6,0.619335
2024-01-23,7,0.596542
2024-01-23,8,0.592776
2024-01-23,9,0.573696
2024-01-23,10,0.585261
2024-01-23,11,0.572956
2024-01-23,12,0.620584
2024-01-23,13,0.596845
2024-01-23,14,0.602698
2024-01-23,15,0.624542
2024-01-23,16,0.565779
2024-01-23,17,0.537261
2024-01-23,18,0.588628
2024-01-23,19,0.572876
2024-01-23,20,0.581011
2024-01-23,21,0.569324
2024-01-23,22,0.582341
2024-01-23,23,0.557359
2024-01-23,24,0.570751
2024-01-27,1,0.561427
2024-01-27,2,0.606712
2024-01-27,3,0.632307
2024-01-27,4,0.603371
2024-01-27,5,0.626946
2024-01-27,6,0.599176
2024-01-27,7,0.551792
2024-01-27,8,0.513863
2024-01-27,9,0.569825
2024-01-27,10,0.597694
2024-01-27,11,0.569903
2024-01-27,12,0.60869
2024-01-27,13,0.629325
2024-01-27,14,0.589078
2024-01-27,15,0.561721
2024-01-27,16,0.563593
2024-01-27,17,0.566694
2024-01-27,18,0.597585
2024-01-27,19,0.580284
2024-01-27,20,0.56991
2024-01-27,21,0.568888
2024-01-27,22,0.580745
2024-01-27,23,0.539111
2024-01-27,24,0.574603
2024-01-31,1,0.559631
2024-01-31,2,0.604076
2024-01-31,3,0.560278
2024-01-31,4,0.608049
2024-01-31,5,0.618874
2024-01-31,6,0.585479
2024-01-31,7,0.556415
2024-01-31,8,0.591909
2024-01-31,9,0.589426
2024-01-31,10,0.603459
2024-01-31,11,0.587859
2024-01-31,12,0.585695
2024-01-31,13,0.60799
2024-01-31,14,0.570919
2024-01-31,15,0.589759
2024-01-31,16,0.55789
2024-01-31,17,0.550734
2024-01-31,18,0.532807
2024-01-31,19,0.547749
2024-01-31,20,0.574923
2024-01-31,21,0.555113
2024-01-31,22,0.585549
2024-01-31,23,0.554708
2024-01-31,24,0.582335
2024-02-02,1,0.552112
2024-02-02,2,0.604149
2024-02-02,3,0.633853
2024-02-02,4,0.627372
2024-02-02,5,0.610215
2024-02-02,6,0.569816
2024-02-02,7,0.54865
2024-02-02,8,0.544505
2024-02-02,9,0.58185
2024-02-02,10,0.566345
2024-02-02,11,0.576503
2024-02-02,12,0.586171
2024-02-02,13,0.629979
2024-02-02,14,0.614225
2024-02-02,15,0.570374
2024-02-02,16,0.549302
2024-02-02,17,0.535468
2024-02-02,18,0.556363
2024-02-02,19,0.564895
2024-02-02,20,0.54434
2024-02-02,21,0.55442
2024-02-02,22,0.56019
2024-02-02,23,0.576948
2024-02-02,24,0.562614
2024-02-03,1,0.568843
2024-02-03,2,0.598888
2024-02-03,3,0.608721
2024-02-03,4,0.598578
2024-02-03,5,0.593237
2024-02-03,6,0.575413
2024-02-03,7,0.58204
2024-02-03,8,0.574385
2024-02-03,9,0.566965
2024-02-03,10,0.601774
2024-02-03,11,0.625662
2024-02-03,12,0.612371
2024-02-03,13,0.562621
2024-02-03,14,0.587005
2024-02-03,15,0.575394
2024-02-03,16,0.557849
2024-02-03,17,0.563689
2024-02-03,18,0.551951
2024-02-03,19,0.607032
2024-02-03,20,0.581183
2024-02-03,21,0.593554
2024-02-03,22,0.568624
2024-02-03,23,0.570845
2024-02-03,24,0.586255
2024-02-05,1,0.575544
2024-02-05,2,0.61962
2024-02-05,3,0.590238
2024-02-05,4,0.643482
2024-02-05,5,0.628102
2024-02-05,6,0.612684
2024-02-05,7,0.533051
2024-02-05,8,0.564586
2024-02-05,9,0.566919
2024-02-05,10,0.57714
2024-02-05,11,0.589618
2024-02-05,12,0.64206
2024-02-05,13,0.59044
2024-02-05,14,0.585226
2024-02-05,15,0.60351
2024-02-05,16,0.568608
2024-02-05,17,0.590998
2024-02-05,18,0.606395
2024-02-05,19,0.585097
2024-02-05,20,0.588809
2024-02-05,21,0.577742
2024-02-05,22,0.539862
2024-02-05,23,0.58566
2024-02-05,24,0.596188
2024-02-07,1,0.583002
2024-02-07,2,0.578556
2024-02-07,3,0.561172
2024-02-07,4,0.617562
2024-02-07,5,0.626021
2024-02-07,6,0.588149
2024-02-07,7,0.542823
2024-02-07,8,0.567218
2024-02-07,9,0.521768
2024-02-07,10,0.569662
2024-02-07,11,0.597076
2024-02-07,12,0.632011
2024-02-07,13,0.606657
2024-02-07,14,0.614171
2024-02-07,15,0.569739
2024-02-07,16,0.563382
2024-02-07,17,0.561272
2024-02-07,18,0.593526
2024-02-07,19,0.571085
2024-02-07,20,0.576179
2024-02-07,21,0.5884
2024-02-07,22,0.583115
2024-02-07,23,0.562889
2024-02-07,24,0.621359
2024-02-08,1,0.579196
2024-02-08,2,0.606399
2024-02-08,3,0.605744
2024-02-08,4,0.641984
2024-02-08,5,0.613098
2024-02-08,6,0.592937
2024-02-08,7,0.567374
2024-02-08,8,0.554709
2024-02-08,9,0.586421
2024-02-08,10,0.591059
2024-02-08,11,0.574523
2024-02-08,12,0.594998
2024-02-08,13,0.62207
2024-02-08,14,0.602933
2024-02-08,15,0.576332
2024-02-08,16,0.568798
2024-02-08,17,0.561973
2024-02-08,18,0.599918
2024-02-08,19,0.556669
2024-02-08,20,0.586594
2024-02-08,21,0.553379
2024-02-08,22,0.567783
2024-02-08,23,0.542825
2024-02-08,24,0.612778
2024-02-09,1,0.542949
2024-02-09,2,0.591547
2024-02-09,3,0.594203
2024-02-09,4,0.604284
2024-02-09,5,0.583538
2024-02-09,6,0.537227
2024-02-09,7,0.566
2024-02-09,8,0.566503
2024-02-09,9,0.600622
2024-02-09,10,0.573508
2024-02-09,11,0.609663
2024-02-09,12,0.611513
2024-02-09,13,0.607869
2024-02-09,14,0.603987
2024-02-09,15,0.558246
2024-02-09,16,0.573721
2024-02-09,17,0.583906
2024-02-09,18,0.558132
2024-02-09,19,0.564502
2024-02-09,20,0.530586
2024-02-09,21,0.553656
2024-02-09,22,0.568798
2024-02-09,23,0.585632
2024-02-09,24,0.558673
2024-02-11,1,0.553353
2024-02-11,2,0.61408
2024-02-11,3,0.593194
2024-02-11,4,0.5777
2024-02-11,5,0.63009
2024-02-11,6,0.571133
2024-02-11,7,0.576426
2024-02-11,8,0.569722
2024-02-11,9,0.548559
2024-02-11,10,0.583702
2024-02-11,11,0.588868
2024-02-11,12,0.566704
2024-02-11,13,0.595955
2024-02-11,14,0.569771
2024-02-11,15,0.610597
2024-02-11,16,0.580973
2024-02-11,17,0.557736
2024-02-11,18,0.555801
2024-02-11,19,0.567814
2024-02-11,20,0.57451
2024-02-11,21,0.559335
2024-02-11,22,0.527596
2024-02-11,23,0.566256
2024-02-11,24,0.580266
2024-02-13,1,0.596241
2024-02-13,2,0.636786
2024-02-13,3,0.610325
2024-02-13,4,0.591976
2024-02-13,5,0.621038
2024-02-13,6,0.57644
2024-02-13,7,0.559445
2024-02-13,8,0.546446
2024-02-13,9,0.594878
2024-02-13,10,0.58673
2024-02-13,11,0.607841
2024-02-13,12,0.556464
2024-02-13,13,0.567738
2024-02-13,14,0.590377
2024-02-13,15,0.588741
2024-02-13,16,0.567205
2024-02-13,17,0.518657
2024-02-13,18,0.593683
2024-02-13,19,0.562963
2024-02-13,20,0.559383
2024-02-13,21,0.57298
2024-02-13,22,0.550734
2024-02-13,23,0.58409
2024-02-13,24,0.565473
2024-02-14,1,0.579229
2024-02-14,2,0.61006
2024-02-14,3,0.605688
2024-02-14,4,0.632685
2024-02-14,5,0.596647
2024-02-14,6,0.585279
2024-02-14,7,0.547246
2024-02-14,8,0.523946
2024-02-14,9,0.575373
2024-02-14,10,0.600782
2024-02-14,11,0.565922
2024-02-14,12,0.624622
2024-02-14,13,0.603601
2024-02-14,14,0.561853
2024-02-14,15,0.566011
2024-02-14,16,0.527737
2024-02-14,17,0.578597
2024-02-14,18,0.593223
2024-02-14,19,0.568492
2024-02-14,20,0.566087
2024-02-14,21,0.529531
2024-02-14,22,0.572642
2024-02-14,23,0.580147
2024-02-14,24,0.589727
2024-02-15,1,0.553208
2024-02-15,2,0.61102
2024-02-15,3,0.596519
2024-02-15,4,0.593318
2024-02-15,5,0.624335
2024-02-15,6,0.595854
2024-02-15,7,0.578073
2024-02-15,8,0.561828
2024-02-15,9,0.59479
2024-02-15,10,0.626161
2024-02-15,11,0.561887
2024-02-15,12,0.618742
2024-02-15,13,0.595839
2024-02-15,14,0.594733
2024-02-15,15,0.58267
2024-02-15,16,0.563
2024-02-15,17,0.558471
2024-02-15,18,0.518785
2024-02-15,19,0.556045
2024-02-15,20,0.553731
2024-02-15,21,0.584593
2024-02-15,22,0.546437
2024-02-15,23,0.572217
2024-02-15,24,0.575903
2024-02-19,1,0.584033
2024-02-19,2,0.581668
2024-02-19,3,0.607006
2024-02-19,4,0.611283
2024-02-19,5,0.632593
2024-02-19,6,0.571209
2024-02-19,7,0.539128
2024-02-19,8,0.572297
2024-02-19,9,0.604945
2024-02-19,10,0.587154
2024-02-19,11,0.580728
2024-02-19,12,0.636008
2024-02-19,13,0.606861
2024-02-19,14,0.604543
2024-02-19,15,0.56196
2024-02-19,16,0.58446
2024-02-19,17,0.523948
2024-02-19,18,0.558452
2024-02-19,19,0.541666
2024-02-19,20,0.570154
2024-02-19,21,0.572458
2024-02-19,22,0.566692
2024-02-19,23,0.560219
2024-02-19,24,0.561559
2024-02-20,1,0.565373
2024-02-20,2,0.60894
2024-02-20,3,0.585353
2024-02-20,4,0.609199
2024-02-20,5,0.64227
2024-02-20,6,0.577002
2024-02-20,7,0.580527
2024-02-20,8,0.562745
2024-02-20,9,0.585187
2024-02-20,10,0.589889
2024-02-20,11,0.582761
2024-02-20,12,0.600361
2024-02-20,13,0.580498
2024-02-20,14,0.585618
2024-02-20,15,0.590308
2024-02-20,16,0.51993
2024-02-20,17,0.56023
2024-02-20,18,0.580883
2024-02-20,19,0.582343
2024-02-20,20,0.574982
2024-02-20,21,0.599967
2024-02-20,22,0.564813
2024-02-20,23,0.597501
2024-02-20,24,0.541413
2024-02-22,1,0.570236
2024-02-22,2,0.610797
2024-02-22,3,0.600652
2024-02-22,4,0.617776
2024-02-22,5,0.637131
2024-02-22,6,0.601172
2024-02-22,7,0.551649
2024-02-22,8,0.545015
2024-02-22,9,0.592565
2024-02-22,10,0.58165
2024-02-22,11,0.583462
2024-02-22,12,0.610541
2024-02-22,13,0.606021
2024-02-22,14,0.626674
2024-02-22,15,0.561378
2024-02-22,16,0.556305
2024-02-22,17,0.573871
2024-02-22,18,0.558827
2024-02-22,19,0.575022
2024-02-22,20,0.603159
2024-02-22,21,0.570032
2024-02-22,22,0.556486
2024-02-22,23,0.572417
2024-02-22,24,0.582888
2024-02-23,1,0.563881
2024-02-23,2,0.558182
2024-02-23,3,0.600717
2024-02-23,4,0.587339
2024-02-23,5,0.619778
2024-02-23,6,0.556665
2024-02-23,7,0.560594
2024-02-23,8,0.572877
2024-02-23,9,0.561232
2024-02-23,10,0.609185
2024-02-23,11,0.621628
2024-02-23,12,0.616767
2024-02-23,13,0.587609
2024-02-23,14,0.578059
2024-02-23,15,0.554801
2024-02-23,16,0.580623
2024-02-23,17,0.574177
2024-02-23,18,0.590528
2024-02-23,19,0.592457
2024-02-23,20,0.561125
2024-02-23,21,0.605979
2024-02-23,22,0.533916
2024-02-23,23,0.558433
2024-02-23,24,0.581496
2024-02-26,1,0.56675
2024-02-26,2,0.553919
2024-02-26,3,0.591032
2024-02-26,4,0.623434
2024-02-26,5,0.631403
2024-02-26,6,0.601355
2024-02-26,7,0.580749
2024-02-26,8,0.580351
2024-02-26,9,0.572453
2024-02-26,10,0.578003
2024-02-26,11,0.580775
2024-02-26,12,0.583763
2024-02-26,13,0.626793
2024-02-26,14,0.575536
2024-02-26,15,0.611125
2024-02-26,16,0.505146
2024-02-26,17,0.58053
2024-02-26,18,0.567276
2024-02-26,19,0.581494
2024-02-26,20,0.587112
2024-02-26,21,0.547762
2024-02-26,22,0.551208
2024-02-26,23,0.554926
2024-02-26,24,0.563197
2024-02-27,1,0.596551
2024-02-27,2,0.60905
2024-02-27,3,0.601316
2024-02-27,4,0.626959
2024-02-27,5,0.65456
2024-02-27,6,0.573413
2024-02-27,7,0.538387
2024-02-27,8,0.543403
2024-02-27,9,0.570943
2024-02-27,10,0.565727
2024-02-27,11,0.588538
2024-02-27,12,0.627292
2024-02-27,13,0.582109
2024-02-27,14,0.576661
2024-02-27,15,0.604918
2024-02-27,16,0.545162
2024-02-27,17,0.60972
2024-02-27,18,0.551207
2024-02-27,19,0.549706
2024-02-27,20,0.597996
2024-02-27,21,0.590951
2024-02-27,22,0.583837
2024-02-27,23,0.549351
2024-02-27,24,0.537945
2024-02-29,1,0.597336
2024-02-29,2,0.579434
2024-02-29,3,0.616065
2024-02-29,4,0.625578
2024-02-29,5,0.647517
2024-02-29,6,0.562327
2024-02-29,7,0.554659
2024-02-29,8,0.521404
2024-02-29,9,0.593033
2024-02-29,10,0.598997
2024-02-29,11,0.592466
2024-02-29,12,0.644743
2024-02-29,13,0.605328
2024-02-29,14,0.587874
2024-02-29,15,0.61524
2024-02-29,16,0.534179
2024-02-29,17,0.594746
2024-02-29,18,0.562635
2024-02-29,19,0.590502
2024-02-29,20,0.580494
2024-02-29,21,0.625796
2024-02-29,22,0.574765
2024-02-29,23,0.56135
2024-02-29,24,0.55204
2024-03-01,1,0.55732
2024-03-01,2,0.565541
2024-03-01,3,0.523813
2024-03-01,4,0.561944
2024-03-01,5,0.554952
2024-03-01,6,0.540297
2024-03-01,7,0.517917
2024-03-01,8,0.498869
2024-03-01,9,0.538434
2024-03-01,10,0.551939
2024-03-01,11,0.560975
2024-03-01,12,0.505592
2024-03-01,13,0.567049
2024-03-01,14,0.534803
2024-03-01,15,0.545169
2024-03-01,16,0.540399
2024-03-01,17,0.496732
2024-03-01,18,0.480211
2024-03-01,19,0.519817
2024-03-01,20,0.542773
2024-03-01,21,0.554354
2024-03-01,22,0.48529
2024-03-01,23,0.48098
2024-03-01,24,0.524966
2024-03-06,1,0.514084
2024-03-06,2,0.522054
2024-03-06,3,0.563939
2024-03-06,4,0.590655
2024-03-06,5,0.544346
2024-03-06,6,0.542459
2024-03-06,7,0.55654
2024-03-06,8,0.526893
2024-03-06,9,0.509983
2024-03-06,10,0.54215
2024-03-06,11,0.550563
2024-03-06,12,0.551341
2024-03-06,13,0.532342
2024-03-06,14,0.518599
2024-03-06,15,0.541783
2024-03-06,16,0.506032
2024-03-06,17,0.540203
2024-03-06,18,0.528788
2024-03-06,19,0.501017
2024-03-06,20,0.533426
2024-03-06,21,0.487775
2024-03-06,22,0.54673
2024-03-06,23,0.527155
2024-03-06,24,0.51571
2024-03-07,1,0.576542
2024-03-07,2,0.530926
2024-03-07,3,0.567785
2024-03-07,4,0.570078
2024-03-07,5,0.579725
2024-03-07,6,0.519334
2024-03-07,7,0.488501
2024-03-07,8,0.49188
2024-03-07,9,0.526612
2024-03-07,10,0.556197
2024-03-07,11,0.542316
2024-03-07,12,0.548631
2024-03-07,13,0.557264
2024-03-07,14,0.559924
2024-03-07,15,0.520389
2024-03-07,16,0.470305
2024-03-07,17,0.485636
2024-03-07,18,0.535092
2024-03-07,19,0.530291
2024-03-07,20,0.550047
2024-03-07,21,0.540108
2024-03-07,22,0.49647
2024-03-07,23,0.505224
2024-03-07,24,0.526947
2024-03-08,1,0.519978
2024-03-08,2,0.530954
2024-03-08,3,0.529701
2024-03-08,4,0.525002
2024-03-08,5,0.547278
2024-03-08,6,0.559213
2024-03-08,7,0.504112
2024-03-08,8,0.484377
2024-03-08,9,0.4962
2024-03-08,10,0.570578
2024-03-08,11,0.526531
2024-03-08,12,0.558856
2024-03-08,13,0.517115
2024-03-08,14,0.528313
2024-03-08,15,0.552108
2024-03-08,16,0.478803
2024-03-08,17,0.555079
2024-03-08,18,0.497445
2024-03-08,19,0.532711
2024-03-08,20,0.527296
2024-03-08,21,0.538413
2024-03-08,22,0.485154
2024-03-08,23,0.512968
2024-03-08,24,0.539953
2024-03-12,1,0.506377
2024-03-12,2,0.526435
2024-03-12,3,0.551566
2024-03-12,4,0.571108
2024-03-12,5,0.547523
2024-03-12,6,0.535258
2024-03-12,7,0.471947
2024-03-12,8,0.52177
2024-03-12,9,0.515263
2024-03-12,10,0.534129
2024-03-12,11,0.53077
2024-03-12,12,0.529663
2024-03-12,13,0.516478
2024-03-12,14,0.537011
2024-03-12,15,0.559564
2024-03-12,16,0.539331
2024-03-12,17,0.533929
2024-03-12,18,0.47585
2024-03-12,19,0.484077
2024-03-12,20,0.511756
2024-03-12,21,0.507242
2024-03-12,22,0.481895
2024-03-12,23,0.510336
2024-03-12,24,0.539682
2024-03-14,1,0.532364
2024-03-14,2,0.571071
2024-03-14,3,0.54176
2024-03-14,4,0.556846
2024-03-14,5,0.567833
2024-03-14,6,0.523402
2024-03-14,7,0.48807
2024-03-14,8,0.519189
2024-03-14,9,0.543242
2024-03-14,10,0.535316
2024-03-14,11,0.529891
2024-03-14,12,0.558482
2024-03-14,13,0.552426
2024-03-14,14,0.56381
2024-03-14,15,0.525757
2024-03-14,16,0.532891
2024-03-14,17,0.500184
2024-03-14,18,0.52611
2024-03-14,19,0.535958
2024-03-14,20,0.541399
2024-03-14,21,0.506273
2024-03-14,22,0.538015
2024-03-14,23,0.510485
2024-03-14,24,0.573094
2024-03-15,1,0.547039
2024-03-15,2,0.506281
2024-03-15,3,0.533316
2024-03-15,4,0.530127
2024-03-15,5,0.560867
2024-03-15,6,0.497695
2024-03-15,7,0.519669
2024-03-15,8,0.4754
2024-03-15,9,0.507463
2024-03-15,10,0.496121
2024-03-15,11,0.501079
2024-03-15,12,0.545341
2024-03-15,13,0.552629
2024-03-15,14,0.568465
2024-03-15,15,0.527447
2024-03-15,16,0.488431
2024-03-15,17,0.529078
2024-03-15,18,0.519742
2024-03-15,19,0.537752
2024-03-15,20,0.517061
2024-03-15,21,0.516831
2024-03-15,22,0.503904
2024-03-15,23,0.508019
2024-03-15,24,0.514219
2024-03-17,1,0.518948
2024-03-17,2,0.547484
2024-03-17,3,0.561384
2024-03-17,4,0.55558
2024-03-17,5,0.548379
2024-03-17,6,0.550127
2024-03-17,7,0.498959
2024-03-17,8,0.523953
2024-03-17,9,0.526568
2024-03-17,10,0.602087
